?,2鱼立,
巭,2功夫,
锾,2钅爰,
嚡,2口鞋,
嚒,2口麼,
呣,2口母,
鹮,2睘鸟,
赍,5十人人冖贝,
鳚,2鱼尉,
鲃,2鱼巴,
豀,2谷奚,
觉,3小冖见,
龣,2龠录,
龢,2龠禾,
龡,2龠欠,
龠,6人一口口口冊,
龟,2刀电,
龛,2合龙,
龚,2龙共,
庞,2广龙,
厐,2厂龙,
龌,2齿屋,
龋,2齿禹,
龉,2齿吾,
龊,2齿足,
龈,2齿艮,
龄,2齿令,
龆,2齿召,
龃,2齿且,
龇,2齿此,
龅,2齿包,
龂,2齿斤,
龁,2齿乞,
龀,2齿匕,
齌,2齊火,
齉,2鼻囊,
齇,2鼻虘,
齆,2鼻邕,
齅,2鼻臭,
齄,2鼻查,
齃,2鼻曷,
齂,2鼻隶,
齁,2鼻句,
齀,2鼻瓦,
鼿,2鼻兀,
蠍,2虫歇,
鼽,2鼻九,
鼼,2鼻丩,
鼻,3自田廾,
鼺,2鼠畾,
鼸,2鼠兼,
鼷,2鼠奚,
赑,3贝贝贝,
鼵,2鼠突,
鼹,2鼠妟,
鼳,2鼠狊,
鼱,2鼠青,
鼯,2鼠吾,
鼮,2鼠廷,
鼭,2鼠寺,
鼬,2鼠由,
鼫,2鼠石,
鼪,2鼠生,
鼩,2鼠句,
鼨,2鼠冬,
觗,2角氏,
鼦,2鼠召,
鼥,2鼠犮,
鼤,2鼠文,
鼣,2鼠犬,
鼢,2鼠分,
鼠,8臼?丶丶?丶丶乀,
计,2讠十,
鼞,2鼓堂,
鼝,2淵鼓,
鼜,2鼓蚤,
鼛,3鼓处口,
鼙,2鼓卑,
鼗,2兆鼓,
鼖,3十艹鼓,
鼕,2鼓冬,
鼔,3十豆攴,
鼓,3十豆支,
鼒,2才鼎,
鼑,2卜鼎,
鼐,2乃鼎,
鼏,2冖鼎,
鼎,3目爿片,
鼊,2辟黽,
鼍,5口口田一黾,2嘼电,
鼈,2敝黽,
鼇,2敖黽,
鼆,2冥黽,
鼅,2知黽,
诓,2讠匡,
讽,2讠风,
鼌,2旦黾,
鼀,2圥黽,
鼋,2元黾,
黾,2口电,
黼,2黹甫,
黻,2黹犮,
黺,2黹分,
黹,4业八巾八,
黩,2黑卖,
黡,2厌黑,
黵,2黑詹,
黳,2殹黑,
黪,2黑参,
黱,4月丷夫黑,3月?黑,
黰,2黑真,
黯,2黑音,
黮,2黑甚,
黭,2黑弇,
黬,2黑咸,
黫,2黑垔,
党,2尚儿,3小冖兄,
黧,4禾勹丿黑,
黦,2黑宛,
黥,2黑京,
黤,2黑奄,
黣,2黑每,
黢,2黑夋,
黠,2黑吉,
黟,2黑多,
点,2占灬,
黝,2黑幼,
黜,2黑出,
黛,2代黑,
黚,2黑甘,
黙,3里犬灬,
默,2黑犬,
黗,2黑屯,
黖,2黑旡,
黕,2黑冘,
黔,2黑今,
黓,2黑戈,
黑,4口丷土灬,
黐,2黍离,
黏,2黍占,
黎,3黍勹丿,5禾勹丿人水,
黍,3禾人水,
黉,3小冖黄,
黋,2黄光,
豭,2豕叚,
财,2贝才,
黇,2黃占,
黆,2黃冘,
黅,2黃今,
黄,4艹一田八,
黁,2麻香,
黀,2麻取,
麾,2麻毛,
么,2丿厶,
麺,2麦面,
麹,2麦匊,
麲,2麥見,
麫,2麥丏,
麸,2麦夫,
麨,2麥少,
麧,2麥乞,
麦,2丰夂,
麤,3鹿鹿鹿,
麣,2鹿嚴,
麢,2鹿霝,
麠,2鹿畺,
麟,2鹿粦,
麞,2鹿章,
麝,2鹿射,
麜,2鹿栗,
麛,2鹿弭,
麚,2鹿叚,
麙,2鹿咸,
麘,2鹿香,
丽,5一冂丶冂丶,
麖,2鹿京,
麕,2鹿囷,
讦,2讠干,
麓,2林鹿,
麒,2鹿其,
麑,2鹿兒,
麐,2鹿吝,
麏,2鹿君,
麎,2鹿辰,
麍,4鹿亠厶川,2鹿?,
麌,2鹿吳,
麋,2鹿米,
诚,2讠成,
麉,3干干鹿,
麈,2鹿主,
麇,2鹿禾,
诵,2讠甬,
麅,2鹿包,
麄,2分鹿,
麃,2鹿灬,
麂,2鹿几,
麁,2刀鹿,
麀,2鹿匕,
鹿,6广乛一丨丨比,
鹾,2卤差,
鹂,2丽鸟,
鹳,2雚鸟,
鹦,2婴鸟,
鹴,2霜鸟,
鸬,2卢鸟,
鹲,2蒙鸟,
鹱,2鸟蒦,
识,2讠只,
鸴,3小冖鸟,
鹭,2路鸟,
鹰,4广亻隹鸟,3广倠鸟,
鹬,2矞鸟,3矛冏鸟,
鹇,2闲鸟,
鹫,2就鸟,
鹩,2尞鸟,
鹔,2肃鸟,
鹪,2焦鸟,
鸶,2丝鸟,
鹨,2翏鸟,
鸷,2执鸟,
鹥,2殹鸟,
鹧,2庶鸟,
鷐,2晨鳥,
鷎,2皋鳥,
鹝,2鬲鸟,
鹞,3爫缶鸟,
鹢,2益鸟,
鹚,2兹鸟,
鹣,2兼鸟,
鹘,2骨鸟,
鹡,2脊鸟,
鹠,2留鸟,
鹤,2隺鸟,
鹟,2翁鸟,
鸧,2仓鸟,
鹜,2敄鸟,
鹛,2眉鸟,
鹖,2曷鸟,
鹗,2咢鸟,
鹕,2胡鸟,
鹙,2秋鸟,
鹋,2苗鸟,
鹒,2庚鸟,
鹑,2享鸟,
鸫,2东鸟,
鹍,2昆鸟,
鹓,2宛鸟,
鹊,2昔鸟,
鹎,2卑鸟,
鹐,2臽鸟,
鹏,2朋鸟,
鹌,2奄鸟,
鹉,2武鸟,
鹄,2告鸟,
鹅,2我鸟,
鹈,2弟鸟,
鹁,2孛鸟,
鹆,2谷鸟,
鹃,2肙鸟,
鹀,2巫乌,
鸾,2亦鸟,
鸼,2舟鸟,
鸺,2休鸟,
鸽,2合鸟,
鸿,3氵工鸟,
鸻,2行鸟,
鸹,2舌鸟,
鸸,2而鸟,
莺,3艹冖鸟,
鸭,2甲鸟,
鸯,2央鸟,
鸪,2古鸟,
鴠,2旦鳥,
鸱,2氐鸟,
鸮,2号鸟,
鸲,2句鸟,
鸳,2夗鸟,
鸵,2鸟它,
鸰,2令鸟,
鴏,2鳥代,
鸥,2区鸟,
鸦,2牙鸟,
鸨,3匕十鸟,2?鸟,
鸩,2冘鸟,
鸢,2弋鸟,
鸣,2口鸟,
鸤,2尸鸟,
凤,2几又,
鳭,2刀鳥,
鳪,2卜鳥,
鸠,2九鸟,
凫,5勹丶丨?几,
鸟,4勹丶?一,
鲡,2鱼丽,
